ASIN,URL,Product,Reviews,Rating,Price
B0060MVJ1Q,https://www.amazon.com/Nikon-D750-FX-format-Digital-Camera/dp/B0060MVJ1Q/ref=lp_3017941_1_13/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-13,Nikon D750 FX-format Digital SLR Camera Body,616,4.5,1496.95
B0060MVLXC,https://www.amazon.com/Nikon-FX-format-Digital-24-120mm-Focus-S/dp/B0060MVLXC/ref=sr_1_50?qid=1567175141&s=electronics&sr=1-50,Nikon D750 FX-format Digital SLR Camera w/ 24-120mm f/4G ED VR Auto Focus-S NIKKOR Lens,616,4.5,1996.95
B00NEWZDRG,https://www.amazon.com/Canon-Mark-Digital-Camera-Body/dp/B00NEWZDRG/ref=sr_1_28?qid=1567175118&s=electronics&sr=1-28,Canon EOS 7D Mark II Digital SLR Camera (Body Only),365,4.6,1024.99
B00T3ER7QO,https://www.amazon.com/Canon-Rebel-Digital-EF-S-18-55mm/dp/B00T3ER7QO/ref=sr_1_35?qid=1567175130&s=electronics&sr=1-35,Canon EOS Rebel T6i Digital SLR with EF-S 18-55mm IS STM Lens - Wi-Fi Enabled,204,4.6,583.99
B0101SRIKU,https://www.amazon.com/Canon-Creator-EF-M15-45mm-VIDEOMIC-Sandisk/dp/B0101SRIKU/ref=sr_1_39?qid=1567175130&s=electronics&sr=1-39,"Canon EOS M50 Video Creator Kit with EF-M15-45mm Lens, Rode VIDEOMIC GO, and 32GB Sandisk Memory Card - Black",150,4.2,699.0
B01A7Q0J3Y,https://www.amazon.com/Nikon-D500-DX-Format-Digital-Body/dp/B01A7Q0J3Y/ref=sr_1_23?qid=1567175118&s=electronics&sr=1-23,Nikon D500 DX-Format Digital SLR (Body Only),208,4.7,1496.95
B01BUYK04A,https://www.amazon.com/Canon-Digital-Camera-Megapixel-Sensor/dp/B01BUYK04A/ref=sr_1_24?qid=1567175118&s=electronics&sr=1-24,Canon Digital SLR Camera Body [EOS 80D] with 24.2 Megapixel (APS-C) CMOS Sensor and Dual Pixel CMOS AF - Black,214,4.4,999.0
B01D93Z89W,https://www.amazon.com/Canon-T6-Digital-Telephoto-Accessory/dp/B01D93Z89W/ref=sr_1_33?qid=1567175130&s=electronics&sr=1-33,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,1282,4.6,449.95
B01KURGS9E,https://www.amazon.com/Canon-Mark-Frame-Digital-Camera/dp/B01KURGS9E/ref=lp_3017941_1_8/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-8,Canon EOS 5D Mark IV Full Frame Digital SLR Camera Body,187,4.3,2799.0
B01M586Y9R,https://www.amazon.com/Sony-Alpha-Mirrorless-Digital-Camera/dp/B01M586Y9R/ref=sr_1_61?qid=1567175141&s=electronics&sr=1-61,"Sony Alpha a6500 Mirrorless Digital Camera w/ 2.95"" LCD (Body Only)",158,4.5,1198.0
B01MR2D0OG,https://www.amazon.com/Nikon-18-55mm-3-5-5-6G-70-300mm-4-5-6-3G/dp/B01MR2D0OG/ref=sr_1_44?qid=1567175130&s=electronics&sr=1-44,Nikon D5600 DSLR with 18-55mm f/3.5-5.6G VR and 70-300mm f/4.5-6.3G ED,204,4.4,796.95
B01MSJJIOY,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_photo_sr_pg1_3?ie=UTF8&adId=A00009243NUDY1O5PDIJS&url=https%3A%2F%2Fwww.amazon.com%2FCanon-Camera-Kit-Ritz-Accessory%2Fdp%2FB01MSJJIOY%2Fref%3Dlp_3017941_1_3_sspa%2F136-6166019-4912147%3Fs%3Dphoto%26ie%3DUTF8%26qid%3D1567175107%26sr%3D1-3-spons%26psc%3D1&qualifier=1567175107&id=380842268104977&widgetName=sp_atf_browse,"Canon EOS Rebel T7i Camera, EF-S 18-55 is STM Lens Kit, Sandisk 64GB, Ritz Gear Premium SLR Camera Bag, Filter Kit, Flash and Accessory Bundle",227,4.4,799.0
B01N3Q104E,https://www.amazon.com/Canon-75-300mm-RitzGear-Telephoto-Accessory/dp/B01N3Q104E/ref=sr_1_43?qid=1567175130&s=electronics&sr=1-43,"Canon EOS Rebel T6 DSLR Camera Kit, EF-S 18-55mm is II Lens, EF 75-300mm III Lens, RitzGear Wide Angle, Telephoto Lens, 64GB and Accessory Bundle",850,4.4,518.95
B01N7OJNEX,https://www.amazon.com/D5600-DX-Format-Digital-SLR-Body/dp/B01N7OJNEX/ref=sr_1_55?qid=1567175141&s=electronics&sr=1-55,D5600 DX-Format Digital SLR Body,204,4.4,596.95
B01N8T801S,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_photo_sr_pg1_1?ie=UTF8&adId=A076392416LF6OQ65HHDW&url=https%3A%2F%2Fwww.amazon.com%2FCanon-Camera-Microphone-Ritz-Accessory%2Fdp%2FB01N8T801S%2Fref%3Dlp_3017941_1_1_sspa%2F136-6166019-4912147%3Fs%3Dphoto%26ie%3DUTF8%26qid%3D1567175107%26sr%3D1-1-spons%26psc%3D1&qualifier=1567175107&id=380842268104977&widgetName=sp_atf_browse,"Canon EOS 5D Mark IV Full Frame Digital SLR Camera Body, Canon BG-E20 Grip, Sandisk Extreme 64GB U3 Card, Polaroid LED Video Light, Microphone, 72-inch Monopod, Ritz Gear Backpack & Accessory Bundle",4,5.0,2799.0
B01N9TYQW3,https://www.amazon.com/Nikon-Digital-18-55mm-70-300mm-Battery/dp/B01N9TYQW3/ref=sr_1_60?qid=1567175141&s=electronics&sr=1-60,Nikon D5600 Wi-Fi Digital SLR Camera with 18-55mm VR & 70-300mm DX AF-P Lenses + 32GB Card + Case + Flash + Battery & Charger + Tripod + Tele/Wide Lens Kit,17,4.5,661.0
B06VSTCWJ9,https://www.amazon.com/Canon-1892C001-EOS-77D-Body/dp/B06VSTCWJ9/ref=sr_1_62?qid=1567175141&s=electronics&sr=1-62,Canon EOS 77D Body,103,4.7,699.0
B06VT2NQD8,https://www.amazon.com/Canon-EOS-REBEL-EF-S-18-55/dp/B06VT2NQD8/ref=sr_1_38?qid=1567175130&s=electronics&sr=1-38,Canon EOS REBEL T7i EF-S 18-55 IS STM Kit,156,4.7,799.0
B06WLHGJ88,https://www.amazon.com/Canon-EOS-REBEL-T7i-Body/dp/B06WLHGJ88/ref=sr_1_63?qid=1567175141&s=electronics&sr=1-63,Canon EOS REBEL T7i Body,156,4.7,699.0
