ASIN,review_id,profile_name,user_url_id,review_date,star_rating,review_title,helpful_votes,total_comments,verified_purchase,review_body
B07QFFNCG4,R1IAYK4EHMWIZP,HarryB,/gp/profile/amzn1.account.AF3RYOV4DESZPEQILRXI3EAE5VXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"August 25, 2019",5,Excellent Camera,,0,Verified Purchase,"Excellent intermediate camera.Great auto exposure.
"
B07QFFNCG4,R1S7BYTWFPHWCQ,IFLYMAUI,/gp/profile/amzn1.account.AFVSDBVHEO6YQLV6EUMABTPPHJEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"May 5, 2019",4,"FAST, RESPONSIVE, LIGHWEIGHT AND SIMPLE",104,3,Verified Purchase,"There isn't much to dislike about Canon's SL3 SLR camera.  I buy camera bodies often, keep them a year and then often upgrade (I travel for a living).I have yet to find a really good POINT & SHOOT camera to carry for my travels.  They always let me down (Canon included) in performance.Now comes another SL series Canon camera (I thought the Sl1 and SL2 were dismal and cheap) called the SL3.  Still offered in the tacky 'White' version as well as the classic black body.I'm not about to list all of the specs (you can read those on your own by visiting the Canon website) here but I will keep this basic and to the point.  I've purchased two of these (one on the day it was released and another from Amazon).Let's go right to the processor (DIGIC 8)...  This is a rocket ship processor in speed and lighting.  Dark closets, no flash, no tripod, etc, etc, etc all still produced vivid photos when I tested the SL3 I had just purchased.  In fairness, I did use a SanDisk Extreme Pro 300MG card for speed but that card had nothing to do with lighting.  I also used a L-Series IS lens which was e real reason for the superior lighting conditions produced.The camera body is made in Taiwan.  Mostly plastic and very lightweight.  The GRIP of the body is fabulous.  The so-called KIT lens (18-55mm) is sub-par in performance but it's an excellent lightweight inexpensive lens if weight is an issue.  The SL3 will accept both EF-S lenses and EF lenses.Because I travel and carry way too much equipment, I wanted Canon to produce a fantastic Point & Shoot.  They did not.  Along comes the SL3  (red flags already after the Sl1 and SL2).  Was I ever wrong...I was so glad I tried the SL3.  Lightweight.  Even with the basic lens kit (F4 18-55mm lens) made mostly of plastic, it still did a great job of beating out any Point & Shoot.  Plus at only 2 lbs for body and lens with battery.  It was a BMW in performance despite being inexpensive, made of all plastic and a bit flimsy at times for switches and controls.This is no Canon 6D Mark II or 5D IV.  Not even close.  But keep the cost in mind.  Keep the weight in mind.  Mostly, keep that fabulous Digic 8 processor in mind.  So impressive.A great choice.  Actually, a bit under-priced I think.Canon hit a home run in the SL3.
"
B07QFFNCG4,R1Z7CIA01C9Q8T,Mikayla Hatfield,/gp/profile/amzn1.account.AFL75GRLLBS6PVADLGGWB5HHERBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 18, 2019",5,I love it!,11,1,Verified Purchase,"I am in love with this camera! Before I upgraded to this one I had the T3i, but this camera is worlds ahead of the T3i. The menus are different, I can connect it via wifi to a number of devices, the pictures are so clear and crisp. There are a multitude of settings for manual and auto and I love the fact that the screen moves and isn't stationary. I seriously can't say enough about this camera. I've only had it for a few days, but I love it.
"
B07QFFNCG4,R26NAJXTSSZBUZ,xtcgrl401,/gp/profile/amzn1.account.AECRW4ZKMJ6NANUHPBWW7RMMFDZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 9, 2019",5,Nice,,0,Verified Purchase,"Does what it says. Very satisfied!
"
B07QFFNCG4,R2A9EXXPM84J7A,Ahmed Abdulameer,/gp/profile/amzn1.account.AGVVCEB5S3XYROYBEFRNF4NRMXQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"July 6, 2019",5,Small sturdy DSLR with 4K capability,7,0,Verified Purchase,"An excellent choice for beginner/intermediate photography. I use canon website to compare it to other, same price range, competitors and this one excels. New image processor, accurate autofocus, and wide range compatibility with canon EF and EFS lenses. it’s not a full frame, though!Additional points goes to ability for 4K videos, small size (close to mirrorless), NFC cab ability and 360 adjustable touch screen with user friendly interface.
"
B07QFFNCG4,R2WAEA0ZMYVSZ0,Kristina Karpew,/gp/profile/amzn1.account.AEC5QNXKWQIBRT6D4UI5DNHXBTAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"July 1, 2019",5,Love,,0,Verified Purchase,"What a great upgrade from my canon EOS t3
"
B07QFFNCG4,R3RO9XEAQJST4Q,Mindy,/gp/profile/amzn1.account.AGFRRU5OEVGC7O26BTTLLZMGSPJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 24, 2019",5,Starter Camera,6,0,Verified Purchase,"Perfect camera for any amature photographers or just want to take casual photos of trips, etc. I actually own much better cameras like the Canon 5D Mark IV but still bought this camera to dedicate to a side prohect. I had the SL1 when it came out and I just think these are fantastic little cameras. Definitely perfect for a beginner.
"
B07QFFNCG4,R49OWQWMYH37H,Frangela-2,/gp/profile/amzn1.account.AEVC6NQC6XFBDISK6XAQPETUAD7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"June 20, 2019",4,Great entry level and intermediate camera.,9,0,Verified Purchase,"I'm used to a Canon 5DM4 but bought this for a light travel camera where vacation photos were only reason.  It performed great and although I had to learn the non-professional aspects of this camera, it was fun using the scene mode and filter mode.  I don't regret getting it as it took very nice photos and was one third the weight of my 5DM4, which made it easy to carry around.  It showed me that you don't need a professional level camera to take great family photos.
"
B07QFFNCG4,R5NZOHSK7OT00,Mohammad Yunus Naseri,/gp/profile/amzn1.account.AHDKBU3JU7ZF32O6QXZXROBUVDEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"August 22, 2019",4,Odd smell,,0,Verified Purchase,"I found the camera a quality one. However, as I bought an open box one (like new), it makes a very odd smell when I take pics with it.
"
B07QFFNCG4,RFP5B1SNHV2FH,GenerousDad77,/gp/profile/amzn1.account.AEIWQAPD7AACI5BMWTXIMEFDKXSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"July 3, 2019",5,A great beginner camera,6,0,Verified Purchase,"This is a great camera for all levels and you will at least need to get the 75-300mm lens also but for starters this is a great camera
"
